accountType|accountNumber|seniorAccountNumber|invoice_no|bill_date|debit|credit
A2|41287094|41287093|849964612|2017-05-19|0|0
A2|42738299|42738298|830064559|2017-04-23|0|0
A2|42738299|42738298|853307844|2017-05-23|0|0
A2|42738396|42389830|830064587|2017-04-23|0|0
A2|42738396|42389830|853307875|2017-05-23|0|0
A2|42734732|42734731|830063334|2017-04-23|0|0
A2|42734732|42734731|853306759|2017-05-23|0|0
A2|42023751|42023750|808736032|2017-04-08|0|0
A2|42023751|42023750|837103885|2017-05-08|0|0
A2|42023751|42023750|868723588|2017-06-08|0|0
A3|42023754|42023751|868723592|2017-06-08|0|0
A2|42734770|42734768|830063345|2017-04-23|0|0
A2|42734770|42734768|853306767|2017-05-23|0|0
A3|42734771|42734770|867594685|2017-06-06|8.57|8.57
A3|42734771|42734770|868508630|2017-06-07|8.57|8.57
A2|42023759|42023758|808736048|2017-04-08|0|0
A2|42023759|42023758|837103896|2017-05-08|0|0
A2|42023759|42023758|868723602|2017-06-08|0|0
A3|42023760|42023759|868723604|2017-06-08|0|0
A2|42739550|42739548|830064745|2017-04-23|0|0
A2|42739550|42739548|853308037|2017-05-23|0|0
A2|42735146|42735145|830063537|2017-04-23|0|0
A2|42735146|42735145|853306928|2017-05-23|0|0
A2|42735082|42735081|830063503|2017-04-23|0|0
A2|42735082|42735081|853306898|2017-05-23|0|0
A2|42024270|42024269|808736150|2017-04-08|0|0
A2|42024270|42024269|837103979|2017-05-08|0|0
A2|42024270|42024269|868723694|2017-06-08|0|0
A3|42024271|42024270|868723696|2017-06-08|0|0
A2|42024275|42024274|808736158|2017-04-08|15|15
A2|42735332|42735331|830063608|2017-04-23|0|0
A2|42735332|42735331|853306987|2017-05-23|0|0
A3|42025371|42025370|868723849|2017-06-08|0|0
A2|42025370|42025368|808736384|2017-04-08|0|0
A2|42025370|42025368|837104169|2017-05-08|0|0
A2|42025370|42025368|868723846|2017-06-08|0|0
A2|42025463|42025462|808736399|2017-04-08|0|0
A2|42025463|42025462|837104183|2017-05-08|0|0
A2|42025463|42025462|868723859|2017-06-08|0|0
A3|42025464|42025463|868723863|2017-06-08|0|0
A2|42025599|42025598|808736437|2017-04-08|0|0
A2|42025599|42025598|837104228|2017-05-08|0|0
A2|42025599|42025598|868723899|2017-06-08|0|0
A3|42025600|42025599|868723902|2017-06-08|0|0
A2|41703581|41703578|823695735|2017-04-16|0|0
A2|41703581|41703578|847439679|2017-05-16|0|0
A2|42741729|42741725|830064935|2017-04-23|0|0
A2|42741729|42741725|853308234|2017-05-23|0|0
A2|42745558|42745556|830065044|2017-04-23|0|0
A2|42745558|42745556|853308328|2017-05-23|0|0
A2|42736097|42736096|830063825|2017-04-23|0|0
A2|42736097|42736096|853307220|2017-05-23|0|0
A2|42735803|42735802|830063771|2017-04-23|0|0
A2|42735803|42735802|853307164|2017-05-23|0|0
A2|42324651|42324650|832155044|2017-04-28|0|0
A2|42324651|42324650|858703833|2017-05-28|0|0
A2|42749433|42749431|830631420|2017-04-24|0|0
A2|42749433|42749431|854182769|2017-05-24|0|0
A2|41710453|41710451|826053120|2017-04-17|0|0
A2|41710453|41710451|848206425|2017-05-17|0|0
A2|41710769|41710767|826053312|2017-04-17|0|0
A2|41710769|41710767|848206494|2017-05-17|0|0
A2|42736660|42736659|830063942|2017-04-23|0|0
A2|42736660|42736659|853307325|2017-05-23|0|0
A2|42736810|42736809|830063962|2017-04-23|0|0
A2|42736810|42736809|853307343|2017-05-23|0|0
A2|42324936|42324935|832155143|2017-04-28|0|0
A2|42324936|42324935|858703925|2017-05-28|0|0
A2|42324943|42324941|832155151|2017-04-28|0|0
A2|42324943|42324941|858703934|2017-05-28|0|0
A2|42749989|42749988|830631716|2017-04-24|0|0
A2|42749989|42749988|854182925|2017-05-24|0|0
A2|41711230|41711229|826053631|2017-04-17|0|0
A2|41711230|41711229|848206589|2017-05-17|0|0
A2|42750060|42750059|830631729|2017-04-24|0|0
A2|42750060|42750059|854182931|2017-05-24|0|0
A2|41711538|41711536|826053754|2017-04-17|0|0
A2|41711538|41711536|848206625|2017-05-17|0|0
A2|42737226|42737225|830064128|2017-04-23|0|0
A2|42737226|42737225|853307475|2017-05-23|0|0
A2|42737376|42737375|830064201|2017-04-23|0|0
A2|42737376|42737375|853307547|2017-05-23|0|0
A2|42325440|42325439|832155576|2017-04-28|0|0
A2|42325440|42325439|858704319|2017-05-28|0|0
A2|42737790|42737789|830064306|2017-04-23|0|0
A2|42737790|42737789|853307640|2017-05-23|0|0
A2|42750849|42750848|830632080|2017-04-24|0|0
A2|42750849|42750848|854183174|2017-05-24|0|0
A2|42325638|42325637|832155747|2017-04-28|0|0
A2|42325638|42325637|858704444|2017-05-28|0|0
A2|42750959|42750958|830632157|2017-04-24|0|0
A2|42750959|42750958|854183215|2017-05-24|0|0
A2|42325761|42325759|832155794|2017-04-28|0|0
A2|42325761|42325759|858704490|2017-05-28|0|0
A2|41713414|41713413|826054271|2017-04-17|0|0
A2|41713414|41713413|848206799|2017-05-17|0|0
A2|42737932|42737931|830064450|2017-04-23|0|0
A2|42737932|42737931|853307730|2017-05-23|0|0
A3|42071495|42071493|871283215|2017-06-11|0|0
A2|42738051|42738050|830064470|2017-04-23|0|0
A2|42738051|42738050|853307742|2017-05-23|0|0
A2|42071493|42071492|809340251|2017-04-11|0|0
A2|42071493|42071492|841540463|2017-05-11|0|0
A2|42071493|42071492|871283211|2017-06-11|0|0
A2|42325866|42325865|832155842|2017-04-28|0|0
A2|42325866|42325865|858704531|2017-05-28|0|0
A2|42738111|42738110|830064478|2017-04-23|0|0
A2|42738111|42738110|853307751|2017-05-23|0|0
A3|42325916|42325915|866689439|2017-06-05|2.61|2.61
A3|42325916|42325915|866727597|2017-06-05|6.52|6.52
A3|42325916|42325915|866781383|2017-06-05|2.61|2.61
A3|42325916|42325915|867607682|2017-06-06|6.52|6.52
A3|42325916|42325915|867791411|2017-06-06|2.77|2.77
A3|42325916|42325915|868388812|2017-06-07|6.52|6.52
A3|42325916|42325915|868441851|2017-06-07|3.32|3.32
A3|42325916|42325915|868484044|2017-06-07|6.52|6.52
A3|42325916|42325915|868507702|2017-06-07|6.52|6.52
A3|42325916|42325915|868509519|2017-06-07|7.52|7.52
A3|42325916|42325915|868519469|2017-06-07|6.83|6.83
A3|42325916|42325915|868534895|2017-06-07|2.77|2.77
A3|42325916|42325915|868552501|2017-06-07|7.52|7.52
A3|42325916|42325915|869355700|2017-06-08|100|100
A3|42325916|42325915|869359051|2017-06-08|6.6|6.6
A3|42325916|42325915|869364269|2017-06-08|6.6|6.6
A3|42325916|42325915|869412936|2017-06-08|7.52|7.52
A3|42325916|42325915|869444509|2017-06-08|4.16|4.16
A3|42325916|42325915|870079859|2017-06-09|2.61|2.61
A3|42325916|42325915|870233478|2017-06-09|5.95|5.95
A3|42325916|42325915|870246084|2017-06-09|2.77|2.77
A3|42325916|42325915|870265204|2017-06-09|6.52|6.52
A3|42325916|42325915|870311099|2017-06-09|6.83|6.83
A3|42325916|42325915|870338038|2017-06-09|7.17|7.17
A3|42325916|42325915|872687505|2017-06-12|6.52|6.52
A3|42325916|42325915|872735063|2017-06-12|6.52|6.52
A3|42325916|42325915|872744090|2017-06-12|2.77|2.77
A2|42325989|42325988|832155916|2017-04-28|0|0
A2|42325989|42325988|858704623|2017-05-28|0|0
A2|42325940|42314846|832155866|2017-04-28|0|0
A2|42325940|42314846|858704580|2017-05-28|0|0
A2|42071702|42071701|809340340|2017-04-11|0|0
A2|42071702|42071701|841540625|2017-05-11|0|0
A2|42071702|42071701|871283293|2017-06-11|0|0
A3|42071704|42071702|871283297|2017-06-11|0|0
A2|42326300|42326298|832156004|2017-04-28|0|0
A2|42326300|42326298|858704703|2017-05-28|0|0
A2|42326576|42326575|832156064|2017-04-28|0|0
A2|42326576|42326575|858704776|2017-05-28|0|0
A2|42326739|42326738|832156078|2017-04-28|0|0
A2|42326739|42326738|858704789|2017-05-28|0|0
A2|42314647|42314645|831964145|2017-04-27|0|0
A2|42314647|42314645|857678686|2017-05-27|0|0
A2|41287707|41287705|827487997|2017-04-19|0|0
A2|41287707|41287705|849964660|2017-05-19|0|0
A2|42315011|42315009|831964217|2017-04-27|0|0
A2|42315011|42315009|857678754|2017-05-27|0|0
A3|41287708|41287707|866610160|2017-06-05|1.4|1.4
A3|41287708|41287707|866707660|2017-06-05|5.95|5.95
A3|41287708|41287707|866912494|2017-06-05|2.03|2.03
A3|41287708|41287707|866913066|2017-06-05|2.03|2.03
A3|41287708|41287707|867467515|2017-06-06|5.95|5.95
A3|41287708|41287707|868231609|2017-06-07|6.86|6.86
A3|41287708|41287707|868235846|2017-06-07|6.56|6.56
A3|41287708|41287707|868239475|2017-06-07|6.56|6.56
A3|41287708|41287707|868243705|2017-06-07|6.73|6.73
A3|41287708|41287707|868249823|2017-06-07|6.73|6.73
A3|41287708|41287707|868254109|2017-06-07|1.82|1.82
A3|41287708|41287707|868257255|2017-06-07|6.73|6.73
A3|41287708|41287707|868302435|2017-06-07|5.95|5.95
A3|41287708|41287707|868439280|2017-06-07|5.95|5.95
A3|41287708|41287707|868622785|2017-06-07|5.95|5.95
A3|41287708|41287707|868624251|2017-06-07|6.86|6.86
A3|41287708|41287707|868625553|2017-06-07|6.86|6.86
A3|41287708|41287707|868626382|2017-06-07|5.95|5.95
A3|41287708|41287707|868627203|2017-06-07|6.56|6.56
A3|41287708|41287707|868628130|2017-06-07|6.86|6.86
A3|41287708|41287707|868628862|2017-06-07|6.73|6.73
A3|41287708|41287707|868629611|2017-06-07|5.95|5.95
A3|41287708|41287707|868630328|2017-06-07|6.73|6.73
A3|41287708|41287707|868630647|2017-06-07|6.86|6.86
A3|41287708|41287707|868633379|2017-06-07|2.63|2.63
A3|41287708|41287707|868634161|2017-06-07|6.73|6.73
A3|41287708|41287707|868634733|2017-06-07|6.56|6.56
A3|41287708|41287707|868635317|2017-06-07|6.56|6.56
A3|41287708|41287707|869133308|2017-06-08|5.95|5.95
A3|41287708|41287707|869930165|2017-06-09|2.63|2.63
A3|41287708|41287707|869934987|2017-06-09|6.52|6.52
A3|41287708|41287707|869940322|2017-06-09|6.52|6.52
A3|41287708|41287707|869944880|2017-06-09|6.52|6.52
A3|41287708|41287707|869949806|2017-06-09|6.52|6.52
A3|41287708|41287707|869954562|2017-06-09|1.61|1.61
A3|41287708|41287707|869958509|2017-06-09|6.52|6.52
A3|41287708|41287707|869964446|2017-06-09|6.56|6.56
A3|41287708|41287707|869970322|2017-06-09|2.63|2.63
A3|41287708|41287707|870334630|2017-06-09|6.46|6.46
A3|41287708|41287707|870335423|2017-06-09|6.46|6.46
A3|41287708|41287707|870336140|2017-06-09|6.56|6.56
A3|41287708|41287707|870336924|2017-06-09|6.56|6.56
A3|41287708|41287707|870337749|2017-06-09|6.86|6.86
A3|41287708|41287707|870338465|2017-06-09|6.86|6.86
A3|41287708|41287707|870339015|2017-06-09|6.86|6.86
A3|41287708|41287707|870339573|2017-06-09|5.95|5.95
A3|41287708|41287707|870340241|2017-06-09|6.46|6.46
A3|41287708|41287707|870341055|2017-06-09|6.56|6.56
A3|41287708|41287707|870341088|2017-06-09|450|450
A3|41287708|41287707|870341819|2017-06-09|6.86|6.86
A3|41287708|41287707|870342456|2017-06-09|6.73|6.73
A3|41287708|41287707|870343168|2017-06-09|6.73|6.73
A3|41287708|41287707|870344192|2017-06-09|15.68|15.68
A3|41287708|41287707|872588549|2017-06-12|5.95|5.95
A3|41287708|41287707|872730263|2017-06-12|5.95|5.95
A2|42073056|42073055|809340610|2017-04-11|0|0
A2|42073056|42073055|841541068|2017-05-11|0|0
A2|42073056|42073055|871283502|2017-06-11|0|0
A3|42072900|42072898|871283451|2017-06-11|0|0
A3|42073057|42073056|871283506|2017-06-11|0|0
A2|41295762|41295759|828020310|2017-04-20|0|0
A2|41295762|41295759|850770685|2017-05-20|0|0
A2|42881555|42881554|833117830|2017-05-01|0|0
A2|42881555|42881554|862435431|2017-06-01|0|0
A2|42073566|42073565|809340871|2017-04-11|0|0
A2|42073566|42073565|841541577|2017-05-11|0|0
A2|42073566|42073565|871283709|2017-06-11|0|0
A2|41296250|41296249|828020376|2017-04-20|0|0
A2|41296250|41296249|850770739|2017-05-20|0|0
A3|42073568|42073566|871283712|2017-06-11|0|0
A3|42075389|42075388|871283778|2017-06-11|0|0
A2|42881994|42881993|833118022|2017-05-01|0|0
A2|42881994|42881993|862435565|2017-06-01|0|0
A2|42318674|42318673|831964364|2017-04-27|0|0
A2|42318674|42318673|857678901|2017-05-27|0|0
A2|42882388|42882386|833118256|2017-05-01|0|0
A2|42882388|42882386|862435721|2017-06-01|0|0
A2|41297630|41297629|828020837|2017-04-20|0|0
A2|41297630|41297629|850771107|2017-05-20|0|0
A2|43323129|43323128|832419774|2017-04-29|0|0
A2|43323129|43323128|859754972|2017-05-29|0|0
A3|43608160|43608159|866913339|2017-06-05|9.99|9.99
A3|43608160|43608159|866916348|2017-06-05|10|10
A3|43608160|43608159|866916633|2017-06-05|12.77|12.77
A2|42883070|42883069|833118434|2017-05-01|0|0
A2|42883070|42883069|862435869|2017-06-01|0|0
A2|42883193|42883191|833118498|2017-05-01|0|0
A2|42883193|42883191|862435922|2017-06-01|0|0
A2|43323524|43323523|832419833|2017-04-29|0|0
A2|43323524|43323523|859754995|2017-05-29|0|0
A2|43609564|43609563|826060871|2017-04-17|0|0
A2|43609564|43609563|848209051|2017-05-17|0|0
A2|43323761|43323759|832419864|2017-04-29|0|0
A2|43323761|43323759|859755008|2017-05-29|0|0
A3|42532600|42532599|870436866|2017-06-10|0|0
A2|42532599|42532598|809125049|2017-04-10|0|0
A2|42532599|42532598|839651396|2017-05-10|0|0
