Acct,Acct_status,clientPID,PlanStatus,Active_date,Term_date
49483639,-2,HZ_MultiCarrier_Addon,2,11/4/17,None
49483639,-2,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49486092,-1,HZ_MultiCarrier_Addon,1,11/4/17,None
49486092,-1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49486120,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49486120,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49495526,1,HZ_MultiCarrier_Addon,1,11/5/17,None
49495526,1,HZ_MultiCarrier_Addon_Trial,3,8/5/17,1/26/18
49495601,1,HZ_MultiCarrier_Addon,1,11/5/17,None
49495601,1,HZ_MultiCarrier_Addon_Trial,3,8/5/17,1/26/18
49497289,1,HZ_MultiCarrier_Addon,1,11/5/17,None
49497289,1,HZ_MultiCarrier_Addon_Trial,3,8/5/17,1/26/18
49499389,1,HZ_MultiCarrier_Addon,1,11/5/17,None
49499389,1,HZ_MultiCarrier_Addon_Trial,3,8/5/17,1/26/18
49499612,-2,HZ_MultiCarrier_Addon,1,11/5/17,None
49499612,-2,HZ_MultiCarrier_Addon_Trial,3,8/5/17,1/26/18
